"front","back","lastReview","nextReview","interval"
"What is the capital of France?","Paris","9/11/2024 10:45:55 PM","9/11/2024 10:45:55 PM","0"
"Who wrote 'To Kill a Mockingbird'?","Harper Lee","9/11/2024 10:45:55 PM","9/11/2024 10:45:55 PM","0"
"What is the largest planet in our solar system?","Jupiter","9/11/2024 10:45:55 PM","9/11/2024 10:45:55 PM","0"
"Who painted the Mona Lisa?","Leonardo da Vinci","9/11/2024 10:45:56 PM","9/11/2024 10:45:56 PM","0"
"What is the smallest prime number?","2","9/11/2024 10:45:56 PM","9/11/2024 10:45:56 PM","0"
"What is the chemical symbol for water?","H2O","9/11/2024 10:45:56 PM","9/11/2024 10:45:56 PM","0"
"Who was the first president of the United States?","George Washington","9/11/2024 10:45:56 PM","9/11/2024 10:45:56 PM","0"
"What is the hardest natural substance on Earth?","Diamond","9/11/2024 10:45:56 PM","9/11/2024 10:45:56 PM","0"
"What is the speed of light in vacuum?","299,792,458 meters per second","9/11/2024 10:45:57 PM","9/11/2024 10:45:57 PM","0"
"Who developed the theory of relativity?","Albert Einstein","9/11/2024 10:45:57 PM","9/11/2024 10:45:57 PM","0"
"What is the tallest mountain in the world?","Mount Everest","9/11/2024 10:45:57 PM","9/11/2024 10:45:57 PM","0"
