"isNew","isLearning","isReview","front","back","lastReview","nextReview","score"
"True","True","True","What is the capital of France?","Paris","9/11/2024 10:26:54 PM","9/11/2024 10:26:54 PM","0"
"True","True","True","Who wrote 'To Kill a Mockingbird'?","Harper Lee","9/11/2024 10:26:54 PM","9/11/2024 10:26:54 PM","0"
"True","True","True","What is the largest planet in our solar system?","Jupiter","9/11/2024 10:26:54 PM","9/11/2024 10:26:54 PM","0"
"True","True","True","Who painted the Mona Lisa?","Leonardo da Vinci","9/11/2024 10:26:54 PM","9/11/2024 10:26:54 PM","0"
"True","True","True","What is the smallest prime number?","2","9/11/2024 10:26:54 PM","9/11/2024 10:26:54 PM","0"
"True","True","True","What is the chemical symbol for water?","H2O","9/11/2024 10:26:54 PM","9/11/2024 10:26:54 PM","0"
"True","True","True","Who was the first president of the United States?","George Washington","9/11/2024 10:26:54 PM","9/11/2024 10:26:54 PM","0"
"True","True","True","What is the hardest natural substance on Earth?","Diamond","9/11/2024 10:26:54 PM","9/11/2024 10:26:54 PM","0"
"True","True","True","What is the speed of light in vacuum?","299,792,458 meters per second","9/11/2024 10:26:54 PM","9/11/2024 10:26:54 PM","0"
"True","True","True","Who developed the theory of relativity?","Albert Einstein","9/11/2024 10:26:54 PM","9/11/2024 10:26:54 PM","0"
"True","True","True","What is the tallest mountain in the world?","Mount Everest","9/11/2024 10:26:54 PM","9/11/2024 10:26:54 PM","0"
